newspaper,date,candidate,scores,color
NY Times,20121101,romney,-0.135695,000000
NY Times,20121102,obama,0.0659393,000000
NY Times,20121102,romney,-0.404369,000000
NY Times,20121102,obama,-0.203646,000000
NY Times,20121102,romney,-0.131883,000000
NY Times,20121103,obama,-0.237855,000000
NY Times,20121103,romney,-0.0954039,000000
NY Times,20121103,obama,0.0367706,000000
NY Times,20121103,romney,-0.138874,000000
NY Times,20121104,obama,-0.268324,000000
NY Times,20121104,romney,-0.248094,000000
NY Times,20121104,obama,0.145848,000000
NY Times,20121104,romney,-0.132464,000000
NY Times,20121105,obama,0.0807369,000000
NY Times,20121105,romney,-0.0047174,000000
NY Times,20121105,obama,-0.215503,000000
NY Times,20121105,romney,0.0171897,000000
